,Title,Published_date,views,likes,favoriteCount,Month
0,Announcing Job Guaranteed Full Stack Javascript Web Developer @Hitesh Choudhary |July 10th,2022-07-04,3378,87,0,Jul
1,600k Subscriber Live Celebration,2022-07-03,5808,274,0,Jul
2,Announcing Job Guaranteed Big Data Bootcamp @iNeuron Intelligence @E-Learning Bridge,2022-07-02,8990,230,0,Jul
3,Day 9-Word Embedding Layer And LSTM Practical Implementation In NLP Application|Krish Naik,2022-07-01,5778,234,0,Jul
4,Day 8-LSTM Recurrent Neural Network In Depth Intuition And NLP Application|Krish Naik,2022-06-29,6233,220,0,Jun
5,Biggest Announcement In Techneuron OTT Platform @iNeuron Intelligence,2022-06-29,6334,227,0,Jun
6,Day 7-BackPropogration In Recurrent Neural Network And NLP Application|Krish Naik,2022-06-28,5039,234,0,Jun
7,Day 6-Recurrent Neural Network Indepth Intuition And NLP Application|Krish Naik,2022-06-27,6124,299,0,Jun
8,AI/ML Live Hackathon @iNeuron,2022-06-25,30740,746,0,Jun
9,Pro Tips For Data Science Interviews- Part 1,2022-06-24,4874,326,0,Jun
10,Day 5-Training Word2Vec From Scratch And AvgWord2vec Indepth Inutuition|Krish Naik,2022-06-22,8745,321,0,Jun
11,Hackathon 3.0 In Collaboration With Mu Sigma,2022-06-22,4078,147,0,Jun
12,"Live Day 4-Word Embedding, CBOW And Skipgram Word2vec NLP And Quiz-5000Inr Give Away",2022-06-20,19725,502,0,Jun
13,Complete Statistics For Data Science In 6 hours By Krish Naik,2022-06-19,17855,695,0,Jun
14,Live Full Stack Data Analytics With Job Assistance Batch Live Induction,2022-06-18,8526,222,0,Jun
15,Live Day 3- TF-IDF With Practical Application NLP And Quiz-5000Inr Give Away,2022-06-17,11095,590,0,Jun
16,Upcoming Affordable Tech Courses From @iNeuron Intelligence,2022-06-16,6878,217,0,Jun
17,"Live Day 2- Bag Of Words, TF-IDF, Word2Vec NLP And Quiz-5000Inr Give Away",2022-06-15,16917,895,0,Jun
18,Hackathon In Collaboration With Jetbrains,2022-06-15,3107,116,0,Jun
19,Live Day 1- Introduction And Roadmap To Natural Language Processing And Quiz-5000Inr Give Away,2022-06-14,52076,1942,0,Jun
20,Prerequisites For NLP Live Community Session For ML And DL,2022-06-13,6986,366,0,Jun
21,Github Hackathon Ending Moments,2022-06-12,6347,217,0,Jun
22,Hackathon Live At iNeuron,2022-06-11,9804,362,0,Jun
23,Announcing NLP Live community Sessions,2022-06-10,10516,437,0,Jun
24,Podcast With Shishir Chandra On System Design at MAANG,2022-06-08,3718,95,0,Jun
25,How To Be Consistent While Learning  Data Science?,2022-06-06,12561,664,0,Jun
26,Importance Of Cybersecurity For Data Scientist,2022-06-05,10072,393,0,Jun
27,Complete Exploratory Data Analysis And Feature Engineering In 3 Hours| Krish Naik,2022-06-04,36322,1251,0,Jun
28,Automate Financial Data Analysis Using Mito,2022-06-03,4981,197,0,Jun
29,Life At IIt's| AI @ IIT Hyderabad| Podcast With Priya Bhatia,2022-06-02,8947,233,0,Jun
30,"Announcing Data Science, ML,DL,AI Videos In Hindi @Krish Naik Hindi",2022-06-01,8271,380,0,Jun
31,@iNeuron Intelligence First Offline 24 hrs Hackathon With Github Community Partner,2022-05-31,7364,207,0,May
32,Big Data Engineering RoadMap And FAANG Interview Process,2022-05-30,17478,617,0,May
33,Live Data Science Quiz With @Telusko,2022-05-29,11029,364,0,May
34,Complete Machine Learning In 6 Hours| Krish Naik,2022-05-28,85163,2589,0,May
35,Why the Journey Matters More Than Your Goal|Motivation,2022-05-26,6195,393,0,May
36,Surprise Conversation With FSDS Batch Student|Sucessful Career Transition|Episode 2,2022-05-25,3882,143,0,May
